pond,model,DO_MAE,DO_R2,pH_MAE,pH_R2
IoTPond2,Per-pond specialist (IoTPond2),1.4863747396659093,-2.3722593614852188,0.23873428361140392,-1.1330499147430628
IoTPond2,Global,4.255419589251637,-24.395495698432047,0.0801078836260183,0.051079744503403246
IoTPond3,Per-pond specialist (IoTPond3),0.6494327980000189,-331.8808145401842,0.1207827990849354,-0.7432380355402666
IoTPond3,Global,0.8116021113619477,-551.5835861447185,0.1825643562057991,-2.5011472203772267
IoTPond4,Per-pond specialist (IoTPond4),1.9378165651185741,-2.268030016866786,0.0563069197088904,-0.11957681824160304
IoTPond4,Global,1.560119213954175,-1.4261679936690554,0.05430262146443003,-0.1397133591942823
IoTPond6,Per-pond specialist (IoTPond6),1.5911230302883679,-0.6194777146539494,0.4811359449439528,-0.18229527490407937
IoTPond6,Global,5.2435863287893785,-7.744260733149119,1.3081242208161423,-3.7523787328481824
IoTPond7,Per-pond specialist (IoTPond7),3.16542530376835,-0.3658905881802601,0.05635404721961174,-1.1410030328173217
IoTPond7,Global,1.7539182386180583,0.3778367978855125,0.0199871945357649,0.6546516558558142
IoTPond9,Global,0.5186616271832668,0.9471639120837203,0.023147314744301883,0.9944622095676108
IoTpond1,Per-pond specialist (IoTpond1),1.1155034903202738,-4.168278447439354,0.20638123681136533,-1.8447339257969273
IoTpond1,Global,4.390665850520134,-63.72448369131824,0.05257928489140092,0.06519857908614146
