Datetime,PondID,PondCode,Temp,Turb,DO,pH
2021-06-19 13:00:00,IoTPond7,4,26.3125,33.0,6.092,8.09092
2021-06-19 14:00:00,IoTPond7,4,26.4375,35.0,6.114,8.08865
2021-06-19 15:00:00,IoTPond7,4,26.625,35.0,8.026,8.11134
2021-06-19 16:00:00,IoTPond7,4,26.6875,36.0,8.224,8.11588
2021-06-19 17:00:00,IoTPond7,4,26.6875,37.0,8.338000000000001,8.11588
2021-06-19 18:00:00,IoTPond7,4,26.625,35.0,8.467,8.11588
2021-06-19 19:00:00,IoTPond7,4,26.5625,34.0,8.049,8.11588
2021-06-19 20:00:00,IoTPond7,4,26.5,35.0,7.1765,8.11588
2021-06-19 21:00:00,IoTPond7,4,26.375,34.0,7.074,8.11588
2021-06-19 22:00:00,IoTPond7,4,26.3125,35.0,6.853,8.11588
2021-06-19 23:00:00,IoTPond7,4,26.25,35.0,6.518000000000001,8.11134
2021-06-20 00:00:00,IoTPond2,0,25.875,100.0,8.642,8.39733
2021-06-20 00:00:00,IoTPond3,1,25.75,16.0,11.405,7.2897
2021-06-20 00:00:00,IoTpond1,6,25.875,100.0,8.642,8.39733
2021-06-20 00:00:00,IoTPond7,4,26.125,35.0,6.293,8.1068
2021-06-20 00:00:00,IoTPond9,5,25.8125,14.0,0.985,8.30654
2021-06-20 00:00:00,IoTPond4,2,25.9375,81.0,6.51,8.39733
2021-06-20 01:00:00,IoTPond7,4,26.0625,35.0,6.008,8.1068
2021-06-20 01:00:00,IoTPond3,1,25.6875,17.0,10.692,7.2897
2021-06-20 01:00:00,IoTPond2,0,25.8125,100.0,8.081,8.39733
2021-06-20 01:00:00,IoTpond1,6,25.8125,100.0,8.081,8.39733
2021-06-20 01:00:00,IoTPond9,5,25.625,11.5,1.169,8.281569999999999
2021-06-20 01:00:00,IoTPond4,2,25.875,80.0,8.386,8.40187
2021-06-20 02:00:00,IoTPond3,1,25.5625,17.0,9.755,7.2897
2021-06-20 02:00:00,IoTPond9,5,25.5,12.0,0.72,8.26115
2021-06-20 02:00:00,IoTPond2,0,25.75,100.0,7.0,8.40641
2021-06-20 02:00:00,IoTPond4,2,25.8125,80.0,8.201,8.40187
2021-06-20 02:00:00,IoTpond1,6,25.75,100.0,7.0,8.40641
