model,feature,importance
Per-pond specialist (IoTPond4),Turb_lag12,0.14917254447937012
Per-pond specialist (IoTPond4),DO_lag1,0.17602446675300598
Per-pond specialist (IoTPond4),DO_lag3,0.10444573312997818
Per-pond specialist (IoTPond4),DO_lag6,0.134926900267601
Per-pond specialist (IoTPond4),DO_lag12,0.18261484801769257
Per-pond specialist (IoTPond4),DO_lag24,0.1760530322790146
Per-pond specialist (IoTPond4),pH_lag1,0.46414992213249207
Per-pond specialist (IoTPond4),pH_lag3,0.47464719414711
Per-pond specialist (IoTPond4),pH_lag6,2.292397975921631
Per-pond specialist (IoTPond4),pH_lag12,0.30568641424179077
Per-pond specialist (IoTPond4),pH_lag24,2.038968086242676
Per-pond specialist (IoTPond4),Temp_roll6_mean,0.15342944860458374
Per-pond specialist (IoTPond4),Temp_roll6_std,0.13947239518165588
Per-pond specialist (IoTPond4),DO_roll6_mean,0.16716636717319489
Per-pond specialist (IoTPond4),pH_roll6_mean,0.8766430616378784
Per-pond specialist (IoTPond6),Temp,0.0868881568312645
Per-pond specialist (IoTPond6),Turb,0.05889846384525299
Per-pond specialist (IoTPond6),HourSin,0.1688314527273178
Per-pond specialist (IoTPond6),HourCos,0.116144560277462
Per-pond specialist (IoTPond6),DayOfYearSin,10.825525283813477
Per-pond specialist (IoTPond6),DayOfYearCos,1.9233977794647217
Per-pond specialist (IoTPond6),Temp_lag1,0.11786364763975143
Per-pond specialist (IoTPond6),Temp_lag3,0.29674819111824036
Per-pond specialist (IoTPond6),Temp_lag6,0.2582215368747711
Per-pond specialist (IoTPond6),Temp_lag12,0.15343979001045227
Per-pond specialist (IoTPond6),Turb_lag1,0.10697276145219803
Per-pond specialist (IoTPond6),Turb_lag3,0.1488065868616104
Per-pond specialist (IoTPond6),Turb_lag6,0.14063219726085663
Per-pond specialist (IoTPond6),Turb_lag12,0.3905206024646759
Per-pond specialist (IoTPond6),DO_lag1,0.12386906147003174
Per-pond specialist (IoTPond6),DO_lag3,0.10690077394247055
Per-pond specialist (IoTPond6),DO_lag6,0.1257459968328476
Per-pond specialist (IoTPond6),DO_lag12,0.4222382605075836
Per-pond specialist (IoTPond6),DO_lag24,0.1874728500843048
Per-pond specialist (IoTPond6),pH_lag1,1.0625110864639282
Per-pond specialist (IoTPond6),pH_lag3,0.4500827491283417
Per-pond specialist (IoTPond6),pH_lag6,0.6391658186912537
Per-pond specialist (IoTPond6),pH_lag12,0.4209076762199402
Per-pond specialist (IoTPond6),pH_lag24,0.4389621913433075
Per-pond specialist (IoTPond6),Temp_roll6_mean,0.5385600328445435
Per-pond specialist (IoTPond6),Temp_roll6_std,0.1513042151927948
Per-pond specialist (IoTPond6),DO_roll6_mean,0.20221897959709167
Per-pond specialist (IoTPond6),pH_roll6_mean,0.6390924453735352
Per-pond specialist (IoTPond7),Temp,0.06519520282745361
Per-pond specialist (IoTPond7),Turb,0.12961086630821228
Per-pond specialist (IoTPond7),HourSin,0.059205930680036545
Per-pond specialist (IoTPond7),HourCos,0.17732195556163788
Per-pond specialist (IoTPond7),DayOfYearSin,1.857080101966858
Per-pond specialist (IoTPond7),DayOfYearCos,0.14121100306510925
